gene,baseline_value,baseline_band,baseline_source_matrix
AC008764.7,2.480657888612896,tail,size_factor_normalized_counts
AC008764.8,24.06097092895786,mid,size_factor_normalized_counts
AC008770.3,3.28045118291724,tail,size_factor_normalized_counts
AC008771.1,664.4240300256291,mid,size_factor_normalized_counts
AC008870.2,7.469066334405309,NA,size_factor_normalized_counts
AC008875.1,1.6537719257419308,tail,size_factor_normalized_counts
AC008875.3,11.922114790212444,NA,size_factor_normalized_counts
AC008883.3,18.110213177461375,NA,size_factor_normalized_counts
AC008897.3,9.976816891584829,NA,size_factor_normalized_counts
AC008906.1,19.953633783169657,NA,size_factor_normalized_counts
AC008906.2,2.026575904327481,tail,size_factor_normalized_counts
AC008915.1,4.161522482921448,NA,size_factor_normalized_counts
AC008915.2,34.41059179912824,mid,size_factor_normalized_counts
AC008937.3,0.7997932943043438,tail,size_factor_normalized_counts
AC008964.1,4.9071304400925495,NA,size_factor_normalized_counts
AC008966.1,99.24691483173531,mid,size_factor_normalized_counts
AC008966.2,2.053668572894103,tail,size_factor_normalized_counts
AC008966.3,0.3998966471521719,tail,size_factor_normalized_counts
AC008969.1,27.395607449008345,mid,size_factor_normalized_counts
AC008972.1,5.788201740096758,NA,size_factor_normalized_counts
AC008972.2,5.361212424377964,NA,size_factor_normalized_counts
AC008982.2,5.46958309864445,NA,size_factor_normalized_counts
AC009005.1,7.8960556501241035,NA,size_factor_normalized_counts
AC009032.1,12.884464095916517,NA,size_factor_normalized_counts
AC009041.4,4.242800488621313,NA,size_factor_normalized_counts
AC009053.2,2.4535652200462748,tail,size_factor_normalized_counts
AC009054.2,2.880554535765068,tail,size_factor_normalized_counts
AC009061.1,16.300378621666866,NA,size_factor_normalized_counts
AC009061.2,22.698724976101616,mid,size_factor_normalized_counts
AC009065.1,7.814777644424239,NA,size_factor_normalized_counts
AC009065.4,10.74951751732255,NA,size_factor_normalized_counts
AC009065.5,1.6808645943085523,tail,size_factor_normalized_counts
AC009065.8,2.561935894312761,tail,size_factor_normalized_counts
AC009088.1,8.241766960143032,NA,size_factor_normalized_counts
AC009090.3,2.053668572894103,tail,size_factor_normalized_counts
AC009108.3,2.026575904327481,tail,size_factor_normalized_counts
AC009113.1,28.859730694783924,mid,size_factor_normalized_counts
AC009118.2,10.668239511622684,NA,size_factor_normalized_counts
AC009118.3,15.548277283148613,NA,size_factor_normalized_counts
AC009120.2,99.86355282742045,mid,size_factor_normalized_counts
AC009120.5,2.134946578593967,tail,size_factor_normalized_counts
AC009126.1,15.68374062598172,NA,size_factor_normalized_counts
